Windows Time Zone ID,Olson Location,Standard Offset,Standard Abbreviation,Daylight Saving Offset,Daylight Saving Abbreviation
Line Islands Standard Time,Pacific/Kiritimati,+1400,,,
Lord Howe Standard Time,Australia/Lord_Howe,+1030,,,
Magadan Standard Time,Asia/Magadan,+1100,,,
Magallanes Standard Time,America/Punta_Arenas,-0300,,,
Marquesas Standard Time,Pacific/Marquesas,-0930,,,
Mauritius Standard Time,Indian/Mauritius,+0400,,,
Mid-Atlantic Standard Time,,,,
Middle East Standard Time,Asia/Beirut,,EET,,EEST
Montevideo Standard Time,America/Montevideo,-0300,,,
Morocco Standard Time,Africa/Casablanca,+0100,,,
Mountain Standard Time,America/Denver,,MST,,MDT
Mountain Standard Time (Mexico),America/Chihuahua,,MST,,MDT
Myanmar Standard Time,Asia/Yangon,+0630,,,
N. Central Asia Standard Time,Asia/Novosibirsk,+0700,,,
Namibia Standard Time,Africa/Windhoek,,CAT,,
Nepal Standard Time,Asia/Kathmandu,+0545,,,
New Zealand Standard Time,Pacific/Auckland,,NZST,,
Newfoundland Standard Time,America/St_Johns,,NST,,NDT
Norfolk Standard Time,Pacific/Norfolk,+1100,,,
North Asia East Standard Time,Asia/Irkutsk,+0800,,,
North Asia Standard Time,Asia/Krasnoyarsk,+0700,,,
North Korea Standard Time,Asia/Pyongyang,,KST,,
Omsk Standard Time,Asia/Omsk,+0600,,,
Pacific SA Standard Time,America/Lima,-0500,,,
Pacific Standard Time,America/Los_Angeles,,PST,,PDT
Pacific Standard Time (Mexico),America/Tijuana,,PST,,
Pakistan Standard Time,Asia/Karachi,,PKT,,
Paraguay Standard Time,America/Asuncion,-0400,,,
Qyzylorda Standard Time,Asia/Qyzylorda,+0500,,,
Romance Standard Time,Europe/Paris,,CET,,CEST
Russia Time Zone 10,Asia/Srednekolymsk,+1100,MAGT,,
Russia Time Zone 11,Asia/Anadyr,+1200,PETT,,
Russia Time Zone 3,Europe/Samara,+0400,SAMT,,
Russian Standard Time,Europe/Moscow,,MSK,,
SA Eastern Standard Time,America/Cayenne,-0300,,,
SA Pacific Standard Time,America/Lima,-0500,,,
SA Western Standard Time,America/La_Paz,-0400,,,
Saint Pierre Standard Time,America/Miquelon,-0300,,-0200,
Sakhalin Standard Time,Asia/Sakhalin,+1100,,,
Samoa Standard Time,Pacific/Apia,+1300,,,
Sao Tome Standard Time,Africa/Sao_Tome,,,,
Saratov Standard Time,Europe/Saratov,+0400,,,
SE Asia Standard Time,Asia/Jakarta,,WIB,,
Singapore Standard Time,Asia/Singapore,+0800,,,
South Africa Standard Time,Africa/Johannesburg,,SAST,,
South Sudan Standard Time,Africa/Juba,,EAT,,
Sri Lanka Standard Time,Asia/Colombo,+0530,,,
Sudan Standard Time,Africa/Khartoum,,CAT,,
Syria Standard Time,Asia/Damascus,,EET,,
Taipei Standard Time,Asia/Taipei,,CST,,
Tasmania Standard Time,Australia/Hobart,,AEST,,
Tocantins Standard Time,America/Araguaina,-0300,,,
